iso3,country,status,pr_rating,cl_rating,a1,a2,a3,a,b1,b2,b3,b4,b,c1,c2,c3,c,pr,d1,d2,d3,d4,d,e1,e2,e3,e,f1,f2,f3,f4,f,g1,g2,g3,g4,g,cl,total
BWA,Botswana,F,2,2,4,4,3,11,3,4,3,2,12,3,3,2,8,31,2,4,3,3,12,4,4,2,10,3,3,3,2,11,3,3,2,3,11,44,75
BRA,Brazil,F,2,3,3,3,4,10,4,4,2,3,13,3,2,2,7,30,3,4,4,3,14,3,3,3,9,3,2,1,2,8,3,3,3,2,11,42,72
BRN,Brunei,NF,6,5,0,0,0,0,1,0,1,1,3,0,3,1,4,7,1,1,2,2,6,1,1,1,3,1,2,1,1,5,2,2,1,1,6,20,27
BGR,Bulgaria,F,2,2,4,3,3,10,4,4,3,3,14,3,2,3,8,32,2,3,3,4,12,4,4,3,11,3,2,3,2,10,4,3,3,2,12,45,77
BFA,Burkina Faso,NF,7,5,0,0,0,0,1,0,0,1,2,0,1,0,1,3,1,3,2,1,7,1,2,3,6,1,1,0,1,3,1,1,2,2,6,22,25
BDI,Burundi,NF,7,6,1,0,0,1,1,0,0,2,3,0,0,0,0,4,0,3,1,0,4,0,0,1,1,0,0,1,1,2,1,1,1,1,4,11,15
CPV,Cabo Verde,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,38,4,4,4,4,16,4,4,3,11,4,3,4,3,14,4,3,3,3,13,54,92
KHM,Cambodia,NF,7,5,0,0,0,0,0,0,1,1,2,0,1,1,2,4,1,3,2,1,7,1,1,1,3,0,1,1,1,3,2,1,2,1,6,19,23
CMR,Cameroon,NF,6,6,0,1,0,1,1,0,1,1,3,1,0,1,2,6,0,2,1,1,4,0,1,1,2,0,0,0,0,0,0,1,1,1,3,9,15
CAN,Canada,F,1,1,4,4,4,12,4,4,4,4,16,4,4,3,11,39,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,4,16,58,97
CAF,Central African Republic,NF,7,7,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,5
TCD,Chad,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,2,2,6,1,1,2,4,0,1,0,0,1,1,1,0,1,3,14,15
CHL,Chile,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,38,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,3,15,57,95
CHN,China,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,0,1,-2,0,0,0,1,1,1,0,1,2,1,1,0,0,2,1,1,2,2,6,11,9
COL,Colombia,F,2,3,4,3,3,10,4,4,2,3,13,3,2,3,8,31,2,4,4,3,13,2,2,2,6,3,2,2,2,9,3,2,4,2,11,39,70
COM,Comoros,PF,5,4,1,2,2,5,2,1,2,2,7,2,1,1,4,16,1,2,3,2,8,1,2,3,6,1,1,2,2,6,2,2,1,1,6,26,42
