iso3,country,ccode,abbreviation,abbreviation_undp,democracy,democracy_trans,democracy_breakdowns,democracy_duration,democracy_omitteddata,democracy_femalesuffrage
CAF,CENTRAL AFRICAN REP.,482,CAF,CEN,0.0,0,1,3,0,0
TCD,CHAD,483,TCD,CHA,0.0,0,0,46,0,0
COG,"CONGO, REP.",484,COG,CON,0.0,0,1,43,0,0
COD,"CONGO, DEM. REP.",490,COD,ZAI,0.0,0,0,46,0,0
UGA,UGANDA,500,UGA,UGA,0.0,0,1,21,0,0
KEN,KENYA,501,KEN,KEN,1.0,0,0,4,1,1
TZA,TANZANIA,510,TZA,TAZ,0.0,0,0,45,0,0
BDI,BURUNDI,516,BDI,BUI,1.0,1,0,1,1,1
RWA,RWANDA,517,RWA,RWA,0.0,0,0,44,0,0
SOM,SOMALIA,520,SOM,SOM,0.0,0,1,37,0,0
DJI,DJIBOUTI,522,DJI,DJI,0.0,0,0,29,0,0
ETH,ETHIOPIA,529,ETH,ETI,0.0,0,0,13,0,0
ERI,ERITREA,531,ERI,ERI,0.0,0,0,13,0,0
AGO,ANGOLA,540,AGO,ANG,0.0,0,0,31,0,0
MOZ,MOZAMBIQUE,541,MOZ,MZM,0.0,0,1,2,0,0
ZMB,ZAMBIA,551,ZMB,ZAM,0.0,0,0,42,0,0
ZWE,ZIMBABWE,552,ZWE,ZIM,0.0,0,0,41,0,0
MWI,MALAWI,553,MWI,MAW,1.0,0,0,12,1,1
ZAF,SOUTH AFRICA,560,ZAF,SAF,1.0,0,0,12,1,1
NAM,NAMIBIA,565,NAM,NAM,0.0,0,0,16,0,0
LSO,LESOTHO,570,LSO,LES,1.0,0,0,4,1,1
BWA,BOTSWANA,571,BWA,BOT,1.0,0,0,40,1,1
SWZ,SWAZILAND,572,SWZ,SWA,0.0,0,0,38,0,0
MDG,MADAGASCAR,580,MDG,MAG,1.0,0,0,13,1,1
COM,COMOROS,581,COM,COM,0.0,0,0,31,0,0
MUS,MAURITIUS,590,MUS,MAS,1.0,0,0,38,1,1
SYC,SEYCHELLES,591,SYC,SYC,0.0,0,0,30,0,0
MAR,MOROCCO,600,MAR,MOR,0.0,0,0,50,0,0
DZA,ALGERIA,615,DZA,ALG,0.0,0,0,44,0,0
TUN,TUNISIA,616,TUN,TUN,0.0,0,0,50,0,0
LBY,LIBYA,620,LBY,LIB,0.0,0,0,55,0,0
SDN,SUDAN,625,SDN,SUD,0.0,0,3,17,0,0
IRN,IRAN,630,IRN,IRN,0.0,0,0,206,0,0
TUR,TURKEY,640,TUR,TUR,1.0,0,1,23,1,1
IRQ,IRAQ,645,IRQ,IRQ,0.0,0,0,74,-1,0
EGY,EGYPT,651,EGY,EGY,0.0,0,0,84,0,0
SYR,SYRIA,652,SYR,SYR,0.0,0,0,62,0,0
LBN,LEBANON,660,LBN,LEB,0.0,0,1,30,0,0
JOR,JORDAN,663,JOR,JOR,0.0,0,0,60,0,0
ISR,ISRAEL,666,ISR,ISR,1.0,0,0,58,1,1
SAU,SAUDI ARABIA,670,SAU,SAU,0.0,0,0,80,0,0
YEM,YEMEN,679,YEM,YEM,0.0,0,0,16,0,0
KWT,KUWAIT,690,KWT,KUW,0.0,0,0,45,0,0
BHR,BAHRAIN,692,BHR,BAH,0.0,0,0,35,0,0
QAT,QATAR,694,QAT,QAT,0.0,0,0,35,0,0
ARE,UNITED ARAB EMIRATES,696,ARE,UAE,0.0,0,0,35,0,0
OMN,OMAN,698,OMN,OMA,0.0,0,0,206,0,0
AFG,AFGHANISTAN,700,AFG,AFG,0.0,0,0,206,0,0
TKM,TURKMENISTAN,701,TKM,TKM,0.0,0,0,15,0,0
TJK,TAJIKISTAN,702,TJK,TAJ,0.0,0,0,15,0,0
KGZ,KYRGYZSTAN,703,KGZ,KYR,0.0,0,0,15,0,0
UZB,UZBEKISTAN,704,UZB,UZB,0.0,0,0,15,0,0
KAZ,KAZAKHSTAN,705,KAZ,KZK,0.0,0,0,15,0,0
CHN,CHINA,710,CHN,CHN,0.0,0,0,206,0,0
MNG,MONGOLIA,712,MNG,MON,1.0,0,0,16,1,1
TWN,TAIWAN,713,TWN,TAW,1.0,0,0,10,1,1
PRK,"KOREA, NORTH",731,PRK,PRK,0.0,0,0,58,0,0
KOR,"KOREA, SOUTH",732,KOR,ROK,1.0,0,1,18,1,1
JPN,JAPAN,740,JPN,JPN,1.0,0,0,54,1,1
IND,INDIA,750,IND,IND,1.0,0,0,56,1,1
BTN,BHUTAN,760,BTN,BHU,0.0,0,0,99,0,0
PAK,PAKISTAN,770,PAK,PAK,0.0,0,2,7,0,0
BGD,BANGLADESH,771,BGD,BNG,1.0,0,0,15,1,1
MMR,MYANMAR,775,MMR,MYA,0.0,0,2,44,0,0
LKA,SRI LANKA,780,LKA,SRI,1.0,0,1,12,1,1
MDV,MALDIVES,781,MDV,MDV,0.0,0,0,40,0,0
NPL,NEPAL,790,NPL,NEP,0.0,0,1,4,0,0
THA,THAILAND,800,THA,THI,1.0,0,2,14,1,1
KHM,CAMBODIA,811,KHM,CAM,0.0,0,0,51,0,0
LAO,LAOS,812,LAO,LAO,0.0,0,1,47,0,0
VNM,VIETNAM,818,VNM,VIE,0.0,0,0,30,0,0
MYS,MALAYSIA,820,MYS,MAL,0.0,0,0,49,0,0
SGP,SINGAPORE,830,SGP,SIN,0.0,0,0,41,0,0
BRN,BRUNEI,835,BRN,BRN,0.0,0,0,21,0,0
